2014 Fall 	CGPA	52.00/16.0	3.250
2015 Spring 	CGPA	95.71/32.0	2.990
2015 Summer 	CGPA	111.73/38.0	2.940
2015 Fall 	CGPA	152.72/51.0	2.990
2016 Spring 	CGPA	188.05/64.0	2.940
2016 Summer 	CGPA	220.09/76.0	2.900
2016 Fall 	CGPA	220.09/76.0	2.900
2017 Spring 	CGPA	220.09/76.0	2.900
2017 Summer 	CGPA	246.41/83.0	2.970
2017 Fall 	CGPA	289.04/97.0	2.980
2018 Spring 	CGPA	331.34/111.0	2.990
2018 Summer 	CGPA	362.00/120.0	3.020
2018 Fall 	CGPA	362.00/120.0	3.020
2019 Spring 	CGPA	362.00/120.0	3.020
2019 Summer 	CGPA	391.01/129.0	3.030
2019 Fall 	CGPA	413.00/135.0	3.060
2020 Spring 	CGPA	437.33/142.0	3.080
2020 Summer 	CGPA	437.33/142.0	3.080