2014 Fall 	Term GPA	52.00/16.0	3.250
2015 Spring 	Term GPA	43.71/16.0	2.730
2015 Summer 	Term GPA	16.02/6.0	2.670
2015 Fall 	Term GPA	40.99/13.0	3.150
2016 Spring 	Term GPA	35.33/13.0	2.720
2016 Summer 	Term GPA	32.04/12.0	2.670
2016 Fall 	Term GPA	0.00/0.0	0.000
2017 Spring 	Term GPA	0.00/0.0	0.000
2017 Summer 	Term GPA	26.32/7.0	3.760
2017 Fall 	Term GPA	42.63/14.0	3.050
2018 Spring 	Term GPA	42.30/14.0	3.020
2018 Summer 	Term GPA	30.66/9.0	3.410
2018 Fall 	Term GPA	0.00/0.0	0.000
2019 Spring 	Term GPA	0.00/0.0	0.000
2019 Summer 	Term GPA	29.01/9.0	3.220
2019 Fall 	Term GPA	21.99/6.0	3.670
2020 Spring 	Term GPA	24.33/7.0	3.480
2020 Summer 	Term GPA	12.99/3.0	4.330